Web Search interest: acad
Worldwide 2004 - present

Interest over time
Week,acad
2010-03-07 - 2010-03-13,48
2010-03-14 - 2010-03-20,47
2010-03-21 - 2010-03-27,49
2010-03-28 - 2010-04-03,43
2010-04-04 - 2010-04-10,44
2010-04-11 - 2010-04-17,44
2010-04-18 - 2010-04-24,48
2010-04-25 - 2010-05-01,45
2010-05-02 - 2010-05-08,45
2010-05-09 - 2010-05-15,47
2010-05-16 - 2010-05-22,45
2010-05-23 - 2010-05-29,42
2010-05-30 - 2010-06-05,41
2010-06-06 - 2010-06-12,43
2010-06-13 - 2010-06-19,40
2010-06-20 - 2010-06-26,39
2010-06-27 - 2010-07-03,40
2010-07-04 - 2010-07-10,39
2010-07-11 - 2010-07-17,35
2010-07-18 - 2010-07-24,37
2010-07-25 - 2010-07-31,36
2010-08-01 - 2010-08-07,35
2010-08-08 - 2010-08-14,36
2010-08-15 - 2010-08-21,37
2010-08-22 - 2010-08-28,39
2010-08-29 - 2010-09-04,40
2010-09-05 - 2010-09-11,40
2010-09-12 - 2010-09-18,43
2010-09-19 - 2010-09-25,42
2010-09-26 - 2010-10-02,45
2010-10-03 - 2010-10-09,46
2010-10-10 - 2010-10-16,41
2010-10-17 - 2010-10-23,42
2010-10-24 - 2010-10-30,41
2010-10-31 - 2010-11-06,40
2010-11-07 - 2010-11-13,42
2010-11-14 - 2010-11-20,44
2010-11-21 - 2010-11-27,42
2010-11-28 - 2010-12-04,42
2010-12-05 - 2010-12-11,43
2010-12-12 - 2010-12-18,39
2010-12-19 - 2010-12-25,31
2010-12-26 - 2011-01-01,26
2011-01-02 - 2011-01-08,36
2011-01-09 - 2011-01-15,42
2011-01-16 - 2011-01-22,42
2011-01-23 - 2011-01-29,40
2011-01-30 - 2011-02-05,40
2011-02-06 - 2011-02-12,40
2011-02-13 - 2011-02-19,41
2011-02-20 - 2011-02-26,42
2011-02-27 - 2011-03-05,40
2011-03-06 - 2011-03-12,40
2011-03-13 - 2011-03-19,40
2011-03-20 - 2011-03-26,43
2011-03-27 - 2011-04-02,43
2011-04-03 - 2011-04-09,43
2011-04-10 - 2011-04-16,41
2011-04-17 - 2011-04-23,41
2011-04-24 - 2011-04-30,36
2011-05-01 - 2011-05-07,40
2011-05-08 - 2011-05-14,41
2011-05-15 - 2011-05-21,40
2011-05-22 - 2011-05-28,40
2011-05-29 - 2011-06-04,36
2011-06-05 - 2011-06-11,39
2011-06-12 - 2011-06-18,39
2011-06-19 - 2011-06-25,38
2011-06-26 - 2011-07-02,35
2011-07-03 - 2011-07-09,36
2011-07-10 - 2011-07-16,35
2011-07-17 - 2011-07-23,33
2011-07-24 - 2011-07-30,31
2011-07-31 - 2011-08-06,34
2011-08-07 - 2011-08-13,34
2011-08-14 - 2011-08-20,31
2011-08-21 - 2011-08-27,33
2011-08-28 - 2011-09-03,35
2011-09-04 - 2011-09-10,36
2011-09-11 - 2011-09-17,38
2011-09-18 - 2011-09-24,38
2011-09-25 - 2011-10-01,35
2011-10-02 - 2011-10-08,37
2011-10-09 - 2011-10-15,35
2011-10-16 - 2011-10-22,36
2011-10-23 - 2011-10-29,36
2011-10-30 - 2011-11-05,34
2011-11-06 - 2011-11-12,36
2011-11-13 - 2011-11-19,38
2011-11-20 - 2011-11-26,38
2011-11-27 - 2011-12-03,38
2011-12-04 - 2011-12-10,36
2011-12-11 - 2011-12-17,35
2011-12-18 - 2011-12-24,29
2011-12-25 - 2011-12-31,22
2012-01-01 - 2012-01-07,29
2012-01-08 - 2012-01-14,33
2012-01-15 - 2012-01-21,34
2012-01-22 - 2012-01-28,35
2012-01-29 - 2012-02-04,35
2012-02-05 - 2012-02-11,35
2012-02-12 - 2012-02-18,34
2012-02-19 - 2012-02-25,32
2012-02-26 - 2012-03-03,37
2012-03-04 - 2012-03-10,36
2012-03-11 - 2012-03-17,37
2012-03-18 - 2012-03-24,37
2012-03-25 - 2012-03-31,37
2012-04-01 - 2012-04-07,33
2012-04-08 - 2012-04-14,32
2012-04-15 - 2012-04-21,33
2012-04-22 - 2012-04-28,33
2012-04-29 - 2012-05-05,31
2012-05-06 - 2012-05-12,32
2012-05-13 - 2012-05-19,33
2012-05-20 - 2012-05-26,34
2012-05-27 - 2012-06-02,33
2012-06-03 - 2012-06-09,31
2012-06-10 - 2012-06-16,29
2012-06-17 - 2012-06-23,31
2012-06-24 - 2012-06-30,30
2012-07-01 - 2012-07-07,30
2012-07-08 - 2012-07-14,30
2012-07-15 - 2012-07-21,27
2012-07-22 - 2012-07-28,26
2012-07-29 - 2012-08-04,26
2012-08-05 - 2012-08-11,26
2012-08-12 - 2012-08-18,27
2012-08-19 - 2012-08-25,28
2012-08-26 - 2012-09-01,30
2012-09-02 - 2012-09-08,30
2012-09-09 - 2012-09-15,32
2012-09-16 - 2012-09-22,33
2012-09-23 - 2012-09-29,32
2012-09-30 - 2012-10-06,32
2012-10-07 - 2012-10-13,31
2012-10-14 - 2012-10-20,33
2012-10-21 - 2012-10-27,31
2012-10-28 - 2012-11-03,29
2012-11-04 - 2012-11-10,32
2012-11-11 - 2012-11-17,32
2012-11-18 - 2012-11-24,30
2012-11-25 - 2012-12-01,37
2012-12-02 - 2012-12-08,33
2012-12-09 - 2012-12-15,29
2012-12-16 - 2012-12-22,24
2012-12-23 - 2012-12-29,16
2012-12-30 - 2013-01-05,20
2013-01-06 - 2013-01-12,30
2013-01-13 - 2013-01-19,29
2013-01-20 - 2013-01-26,29
2013-01-27 - 2013-02-02,29
2013-02-03 - 2013-02-09,28
2013-02-10 - 2013-02-16,28
2013-02-17 - 2013-02-23,29
2013-02-24 - 2013-03-02,28
2013-03-03 - 2013-03-09,29
2013-03-10 - 2013-03-16,29
2013-03-17 - 2013-03-23,31
2013-03-24 - 2013-03-30,28
2013-03-31 - 2013-04-06,28
2013-04-07 - 2013-04-13,34
2013-04-14 - 2013-04-20,33
2013-04-21 - 2013-04-27,30
2013-04-28 - 2013-05-04,27
2013-05-05 - 2013-05-11,30
2013-05-12 - 2013-05-18,31
2013-05-19 - 2013-05-25,29
2013-05-26 - 2013-06-01,28
2013-06-02 - 2013-06-08,28
2013-06-09 - 2013-06-15,29
2013-06-16 - 2013-06-22,28
2013-06-23 - 2013-06-29,28
2013-06-30 - 2013-07-06,27
2013-07-07 - 2013-07-13,26
2013-07-14 - 2013-07-20,25
2013-07-21 - 2013-07-27,24
2013-07-28 - 2013-08-03,25
2013-08-04 - 2013-08-10,26
2013-08-11 - 2013-08-17,25
2013-08-18 - 2013-08-24,24
2013-08-25 - 2013-08-31,24
2013-09-01 - 2013-09-07,27
2013-09-08 - 2013-09-14,28
2013-09-15 - 2013-09-21,28
2013-09-22 - 2013-09-28,28
2013-09-29 - 2013-10-05,29
2013-10-06 - 2013-10-12,30
2013-10-13 - 2013-10-19,29
2013-10-20 - 2013-10-26,29
2013-10-27 - 2013-11-02,27
2013-11-03 - 2013-11-09,30
2013-11-10 - 2013-11-16,29
2013-11-17 - 2013-11-23,29
2013-11-24 - 2013-11-30,27
2013-12-01 - 2013-12-07,28
2013-12-08 - 2013-12-14,27
2013-12-15 - 2013-12-21,23
2013-12-22 - 2013-12-28,15
2013-12-29 - 2014-01-04,18
2014-01-05 - 2014-01-11,25
2014-01-12 - 2014-01-18,24
2014-01-19 - 2014-01-25,25
2014-01-26 - 2014-02-01,25
2014-02-02 - 2014-02-08,26
2014-02-09 - 2014-02-15,26
2014-02-16 - 2014-02-22,26
2014-02-23 - 2014-03-01,27
2014-03-02 - 2014-03-08,27
2014-03-09 - 2014-03-15,28
2014-03-16 - 2014-03-22,27
2014-03-23 - 2014-03-29,28
2014-03-30 - 2014-04-05,28
2014-04-06 - 2014-04-12,27
2014-04-13 - 2014-04-19,26
2014-04-20 - 2014-04-26,25
2014-04-27 - 2014-05-03,23
2014-05-04 - 2014-05-10,26
2014-05-11 - 2014-05-17,26
2014-05-18 - 2014-05-24,25
2014-05-25 - 2014-05-31,24
2014-06-01 - 2014-06-07,25
2014-06-08 - 2014-06-14,25
2014-06-15 - 2014-06-21,23
2014-06-22 - 2014-06-28,23
2014-06-29 - 2014-07-05,22
2014-07-06 - 2014-07-12,25
2014-07-13 - 2014-07-19,22
2014-07-20 - 2014-07-26,23
2014-07-27 - 2014-08-02,22
2014-08-03 - 2014-08-09,25
2014-08-10 - 2014-08-16,23
2014-08-17 - 2014-08-23,24
2014-08-24 - 2014-08-30,25
2014-08-31 - 2014-09-06,27
2014-09-07 - 2014-09-13,27
2014-09-14 - 2014-09-20,26
2014-09-21 - 2014-09-27,26
2014-09-28 - 2014-10-04,26
2014-10-05 - 2014-10-11,24
2014-10-12 - 2014-10-18,26
2014-10-19 - 2014-10-25,24
2014-10-26 - 2014-11-01,26
2014-11-02 - 2014-11-08,27
2014-11-09 - 2014-11-15,27
2014-11-16 - 2014-11-22,28
2014-11-23 - 2014-11-29,25
2014-11-30 - 2014-12-06,25
2014-12-07 - 2014-12-13,25
2014-12-14 - 2014-12-20,23
2014-12-21 - 2014-12-27,14
2014-12-28 - 2015-01-03,14
2015-01-04 - 2015-01-10,23
2015-01-11 - 2015-01-17,24
2015-01-18 - 2015-01-24,24
2015-01-25 - 2015-01-31,25
2015-02-01 - 2015-02-07,23
2015-02-08 - 2015-02-14,23
2015-02-15 - 2015-02-21,23
2015-02-22 - 2015-02-28,25
2015-03-01 - 2015-03-07,26
2015-03-08 - 2015-03-14,30
2015-03-15 - 2015-03-21,26
2015-03-22 - 2015-03-28,26
2015-03-29 - 2015-04-04,25
2015-04-05 - 2015-04-11,23
2015-04-12 - 2015-04-18,25
2015-04-19 - 2015-04-25,25
2015-04-26 - 2015-05-02,23
2015-05-03 - 2015-05-09,25
2015-05-10 - 2015-05-16,24
2015-05-17 - 2015-05-23,25
2015-05-24 - 2015-05-30,23
2015-05-31 - 2015-06-06,23
2015-06-07 - 2015-06-13,25
2015-06-14 - 2015-06-20,24
2015-06-21 - 2015-06-27,24
2015-06-28 - 2015-07-04,23
2015-07-05 - 2015-07-11,21
2015-07-12 - 2015-07-18,21
2015-07-19 - 2015-07-25,19
2015-07-26 - 2015-08-01,21
2015-08-02 - 2015-08-08,21
2015-08-09 - 2015-08-15,22
2015-08-16 - 2015-08-22,23
2015-08-23 - 2015-08-29,22
2015-08-30 - 2015-09-05,23
2015-09-06 - 2015-09-12,24
2015-09-13 - 2015-09-19,24
2015-09-20 - 2015-09-26,23
2015-09-27 - 2015-10-03,25
2015-10-04 - 2015-10-10,24
2015-10-11 - 2015-10-17,25
2015-10-18 - 2015-10-24,24
2015-10-25 - 2015-10-31,22
2015-11-01 - 2015-11-07,25
2015-11-08 - 2015-11-14,23
2015-11-15 - 2015-11-21,24
2015-11-22 - 2015-11-28,24
2015-11-29 - 2015-12-05,23
2015-12-06 - 2015-12-12,23
2015-12-13 - 2015-12-19,23
2015-12-20 - 2015-12-26,15
2015-12-27 - 2016-01-02,13
2016-01-03 - 2016-01-09,23
2016-01-10 - 2016-01-16,23
2016-01-17 - 2016-01-23,22
2016-01-24 - 2016-01-30,23
2016-01-31 - 2016-02-06,22
2016-02-07 - 2016-02-13,21
2016-02-14 - 2016-02-20, 


Top regions for acad
Region,acad
Malta,100
Slovenia,38
Austria,28
Croatia,22
Bulgaria,20
Canada,18
Romania,14
Singapore,13
Vietnam,13
China,13
Netherlands,13
Portugal,12
Serbia,12
Colombia,12
Philippines,11
Bolivia,10
Czech Republic,10
Germany,10
Brazil,9
Chile,9
Taiwan,9
Ecuador,9
United Arab Emirates,8
Belgium,8
Spain,8
United States,8
Hong Kong,8
Slovakia,8
Poland,8
South Korea,8
Australia,7
Switzerland,7
Malaysia,7
Denmark,7
Peru,7
Argentina,6
United Kingdom,6
Finland,6
Greece,6
New Zealand,6
Ireland,6
France,6
Mexico,5
Thailand,5
South Africa,5
Venezuela,4
India,4
Italy,4
Hungary,4
Egypt,4
Indonesia,4
Sweden,4
Russia,3
Ukraine,3
Saudi Arabia,3
Turkey,3
Japan,2


Top cities for acad
City,acad
Calgary (Canada),100
Porto Alegre (Brazil),63
Zagreb (Croatia),14
Vienna (Austria),14
Bucharest (Romania),11
Ho Chi Minh City (Vietnam),10
Beijing (China),9
Amsterdam (Netherlands),9
Singapore (Singapore),8
Bogotá (Colombia),8
Houston (United States),7
Frankfurt (Germany),7
Santiago (Chile),6
Madrid (Spain),6
Toronto (Canada),6



Top searches for acad
net acad,100
acad download,100
proc natl acad,100
cisco acad,100
acad 2010,85
acad 3d,75
net acad cisco,65
acad 2012,60
acad 2008,55
acad 2007,55
acad block,55
pucrs acad,50
pucrs,50
acad 2011,50
acad 2013,50
acad 2009,50
google acad,45
acad 2014,40
acad calgary,40
acad med,35
acad lt,35
acad blocks,35
acad viewer,30
acad 2015,30
acad 2006,30
acad 2004,30
acad lisp,25
acad software,25
acad 2000,25
acad 2005,20
acad torrent,20
bloques acad,20
acad stock,20
acad to pdf,20
acad converter,15
acad tutorial,15
moodle acad,15
acad cefet,15
acad write,15
acad library,15
acad 下载,10
acad electrical,10
acad forum,10
acad webmail,10
acad proxy entity,10



Rising searches for acad
acad 2007,Breakout
acad 2008,Breakout
acad 2010,Breakout
acad 2011,Breakout
acad 2012,Breakout
acad 2013,Breakout
pucrs,Breakout
pucrs acad,Breakout
net acad,+180%
net acad cisco,+80%



