Web Search interest: apei
Worldwide 2004 - present

Interest over time
Week,apei
2010-06-27 - 2010-07-03,51
2010-07-04 - 2010-07-10,42
2010-07-11 - 2010-07-17,41
2010-07-18 - 2010-07-24,37
2010-07-25 - 2010-07-31,36
2010-08-01 - 2010-08-07,36
2010-08-08 - 2010-08-14,33
2010-08-15 - 2010-08-21,32
2010-08-22 - 2010-08-28,33
2010-08-29 - 2010-09-04,39
2010-09-05 - 2010-09-11,41
2010-09-12 - 2010-09-18,37
2010-09-19 - 2010-09-25,45
2010-09-26 - 2010-10-02,47
2010-10-03 - 2010-10-09,49
2010-10-10 - 2010-10-16,63
2010-10-17 - 2010-10-23,58
2010-10-24 - 2010-10-30,53
2010-10-31 - 2010-11-06,49
2010-11-07 - 2010-11-13,55
2010-11-14 - 2010-11-20,52
2010-11-21 - 2010-11-27,49
2010-11-28 - 2010-12-04,45
2010-12-05 - 2010-12-11,47
2010-12-12 - 2010-12-18,42
2010-12-19 - 2010-12-25,28
2010-12-26 - 2011-01-01,25
2011-01-02 - 2011-01-08,45
2011-01-09 - 2011-01-15,60
2011-01-16 - 2011-01-22,70
2011-01-23 - 2011-01-29,56
2011-01-30 - 2011-02-05,35
2011-02-06 - 2011-02-12,43
2011-02-13 - 2011-02-19,59
2011-02-20 - 2011-02-26,60
2011-02-27 - 2011-03-05,56
2011-03-06 - 2011-03-12,63
2011-03-13 - 2011-03-19,66
2011-03-20 - 2011-03-26,86
2011-03-27 - 2011-04-02,71
2011-04-03 - 2011-04-09,58
2011-04-10 - 2011-04-16,54
2011-04-17 - 2011-04-23,33
2011-04-24 - 2011-04-30,39
2011-05-01 - 2011-05-07,66
2011-05-08 - 2011-05-14,68
2011-05-15 - 2011-05-21,68
2011-05-22 - 2011-05-28,62
2011-05-29 - 2011-06-04,63
2011-06-05 - 2011-06-11,55
2011-06-12 - 2011-06-18,49
2011-06-19 - 2011-06-25,47
2011-06-26 - 2011-07-02,46
2011-07-03 - 2011-07-09,43
2011-07-10 - 2011-07-16,40
2011-07-17 - 2011-07-23,38
2011-07-24 - 2011-07-30,29
2011-07-31 - 2011-08-06,32
2011-08-07 - 2011-08-13,31
2011-08-14 - 2011-08-20,29
2011-08-21 - 2011-08-27,29
2011-08-28 - 2011-09-03,36
2011-09-04 - 2011-09-10,36
2011-09-11 - 2011-09-17,35
2011-09-18 - 2011-09-24,44
2011-09-25 - 2011-10-01,52
2011-10-02 - 2011-10-08,43
2011-10-09 - 2011-10-15,44
2011-10-16 - 2011-10-22,52
2011-10-23 - 2011-10-29,53
2011-10-30 - 2011-11-05,44
2011-11-06 - 2011-11-12,52
2011-11-13 - 2011-11-19,53
2011-11-20 - 2011-11-26,52
2011-11-27 - 2011-12-03,43
2011-12-04 - 2011-12-10,54
2011-12-11 - 2011-12-17,60
2011-12-18 - 2011-12-24,36
2011-12-25 - 2011-12-31,21
2012-01-01 - 2012-01-07,35
2012-01-08 - 2012-01-14,43
2012-01-15 - 2012-01-21,54
2012-01-22 - 2012-01-28,57
2012-01-29 - 2012-02-04,52
2012-02-05 - 2012-02-11,47
2012-02-12 - 2012-02-18,50
2012-02-19 - 2012-02-25,52
2012-02-26 - 2012-03-03,55
2012-03-04 - 2012-03-10,51
2012-03-11 - 2012-03-17,63
2012-03-18 - 2012-03-24,90
2012-03-25 - 2012-03-31,72
2012-04-01 - 2012-04-07,49
2012-04-08 - 2012-04-14,32
2012-04-15 - 2012-04-21,36
2012-04-22 - 2012-04-28,43
2012-04-29 - 2012-05-05,55
2012-05-06 - 2012-05-12,55
2012-05-13 - 2012-05-19,57
2012-05-20 - 2012-05-26,59
2012-05-27 - 2012-06-02,53
2012-06-03 - 2012-06-09,58
2012-06-10 - 2012-06-16,59
2012-06-17 - 2012-06-23,56
2012-06-24 - 2012-06-30,51
2012-07-01 - 2012-07-07,41
2012-07-08 - 2012-07-14,37
2012-07-15 - 2012-07-21,37
2012-07-22 - 2012-07-28,35
2012-07-29 - 2012-08-04,27
2012-08-05 - 2012-08-11,29
2012-08-12 - 2012-08-18,33
2012-08-19 - 2012-08-25,34
2012-08-26 - 2012-09-01,39
2012-09-02 - 2012-09-08,35
2012-09-09 - 2012-09-15,36
2012-09-16 - 2012-09-22,37
2012-09-23 - 2012-09-29,39
2012-09-30 - 2012-10-06,35
2012-10-07 - 2012-10-13,41
2012-10-14 - 2012-10-20,44
2012-10-21 - 2012-10-27,44
2012-10-28 - 2012-11-03,39
2012-11-04 - 2012-11-10,42
2012-11-11 - 2012-11-17,49
2012-11-18 - 2012-11-24,42
2012-11-25 - 2012-12-01,49
2012-12-02 - 2012-12-08,47
2012-12-09 - 2012-12-15,47
2012-12-16 - 2012-12-22,31
2012-12-23 - 2012-12-29,17
2012-12-30 - 2013-01-05,24
2013-01-06 - 2013-01-12,35
2013-01-13 - 2013-01-19,44
2013-01-20 - 2013-01-26,44
2013-01-27 - 2013-02-02,51
2013-02-03 - 2013-02-09,50
2013-02-10 - 2013-02-16,46
2013-02-17 - 2013-02-23,44
2013-02-24 - 2013-03-02,47
2013-03-03 - 2013-03-09,43
2013-03-10 - 2013-03-16,54
2013-03-17 - 2013-03-23,73
2013-03-24 - 2013-03-30,60
2013-03-31 - 2013-04-06,45
2013-04-07 - 2013-04-13,39
2013-04-14 - 2013-04-20,47
2013-04-21 - 2013-04-27,44
2013-04-28 - 2013-05-04,35
2013-05-05 - 2013-05-11,43
2013-05-12 - 2013-05-18,60
2013-05-19 - 2013-05-25,55
2013-05-26 - 2013-06-01,53
2013-06-02 - 2013-06-08,55
2013-06-09 - 2013-06-15,56
2013-06-16 - 2013-06-22,86
2013-06-23 - 2013-06-29,38
2013-06-30 - 2013-07-06,38
2013-07-07 - 2013-07-13,31
2013-07-14 - 2013-07-20,32
2013-07-21 - 2013-07-27,30
2013-07-28 - 2013-08-03,29
2013-08-04 - 2013-08-10,24
2013-08-11 - 2013-08-17,26
2013-08-18 - 2013-08-24,28
2013-08-25 - 2013-08-31,33
2013-09-01 - 2013-09-07,31
2013-09-08 - 2013-09-14,30
2013-09-15 - 2013-09-21,27
2013-09-22 - 2013-09-28,30
2013-09-29 - 2013-10-05,38
2013-10-06 - 2013-10-12,33
2013-10-13 - 2013-10-19,39
2013-10-20 - 2013-10-26,41
2013-10-27 - 2013-11-02,37
2013-11-03 - 2013-11-09,39
2013-11-10 - 2013-11-16,39
2013-11-17 - 2013-11-23,42
2013-11-24 - 2013-11-30,44
2013-12-01 - 2013-12-07,39
2013-12-08 - 2013-12-14,40
2013-12-15 - 2013-12-21,30
2013-12-22 - 2013-12-28,16
2013-12-29 - 2014-01-04,23
2014-01-05 - 2014-01-11,45
2014-01-12 - 2014-01-18,54
2014-01-19 - 2014-01-25,54
2014-01-26 - 2014-02-01,47
2014-02-02 - 2014-02-08,42
2014-02-09 - 2014-02-15,39
2014-02-16 - 2014-02-22,44
2014-02-23 - 2014-03-01,44
2014-03-02 - 2014-03-08,43
2014-03-09 - 2014-03-15,51
2014-03-16 - 2014-03-22,70
2014-03-23 - 2014-03-29,52
2014-03-30 - 2014-04-05,47
2014-04-06 - 2014-04-12,43
2014-04-13 - 2014-04-19,29
2014-04-20 - 2014-04-26,31
2014-04-27 - 2014-05-03,34
2014-05-04 - 2014-05-10,49
2014-05-11 - 2014-05-17,54
2014-05-18 - 2014-05-24,53
2014-05-25 - 2014-05-31,45
2014-06-01 - 2014-06-07,55
2014-06-08 - 2014-06-14,48
2014-06-15 - 2014-06-21,46
2014-06-22 - 2014-06-28,47
2014-06-29 - 2014-07-05,42
2014-07-06 - 2014-07-12,35
2014-07-13 - 2014-07-19,32
2014-07-20 - 2014-07-26,31
2014-07-27 - 2014-08-02,28
2014-08-03 - 2014-08-09,28
2014-08-10 - 2014-08-16,26
2014-08-17 - 2014-08-23,29
2014-08-24 - 2014-08-30,32
2014-08-31 - 2014-09-06,34
2014-09-07 - 2014-09-13,32
2014-09-14 - 2014-09-20,35
2014-09-21 - 2014-09-27,33
2014-09-28 - 2014-10-04,39
2014-10-05 - 2014-10-11,41
2014-10-12 - 2014-10-18,39
2014-10-19 - 2014-10-25,40
2014-10-26 - 2014-11-01,39
2014-11-02 - 2014-11-08,39
2014-11-09 - 2014-11-15,38
2014-11-16 - 2014-11-22,39
2014-11-23 - 2014-11-29,38
2014-11-30 - 2014-12-06,34
2014-12-07 - 2014-12-13,40
2014-12-14 - 2014-12-20,32
2014-12-21 - 2014-12-27,22
2014-12-28 - 2015-01-03,22
2015-01-04 - 2015-01-10,40
2015-01-11 - 2015-01-17,49
2015-01-18 - 2015-01-24,52
2015-01-25 - 2015-01-31,41
2015-02-01 - 2015-02-07,38
2015-02-08 - 2015-02-14,38
2015-02-15 - 2015-02-21,44
2015-02-22 - 2015-02-28,41
2015-03-01 - 2015-03-07,43
2015-03-08 - 2015-03-14,47
2015-03-15 - 2015-03-21,55
2015-03-22 - 2015-03-28,56
2015-03-29 - 2015-04-04,49
2015-04-05 - 2015-04-11,30
2015-04-12 - 2015-04-18,28
2015-04-19 - 2015-04-25,44
2015-04-26 - 2015-05-02,43
2015-05-03 - 2015-05-09,45
2015-05-10 - 2015-05-16,53
2015-05-17 - 2015-05-23,47
2015-05-24 - 2015-05-30,45
2015-05-31 - 2015-06-06,50
2015-06-07 - 2015-06-13,46
2015-06-14 - 2015-06-20,42
2015-06-21 - 2015-06-27,38
2015-06-28 - 2015-07-04,38
2015-07-05 - 2015-07-11,40
2015-07-12 - 2015-07-18,32
2015-07-19 - 2015-07-25,37
2015-07-26 - 2015-08-01,35
2015-08-02 - 2015-08-08,31
2015-08-09 - 2015-08-15,28
2015-08-16 - 2015-08-22,35
2015-08-23 - 2015-08-29,35
2015-08-30 - 2015-09-05,33
2015-09-06 - 2015-09-12,34
2015-09-13 - 2015-09-19,34
2015-09-20 - 2015-09-26,38
2015-09-27 - 2015-10-03,41
2015-10-04 - 2015-10-10,46
2015-10-11 - 2015-10-17,45
2015-10-18 - 2015-10-24,41
2015-10-25 - 2015-10-31,41
2015-11-01 - 2015-11-07,37
2015-11-08 - 2015-11-14,40
2015-11-15 - 2015-11-21,41
2015-11-22 - 2015-11-28,37
2015-11-29 - 2015-12-05,34
2015-12-06 - 2015-12-12,43
2015-12-13 - 2015-12-19,33
2015-12-20 - 2015-12-26,21
2015-12-27 - 2016-01-02,23
2016-01-03 - 2016-01-09,39
2016-01-10 - 2016-01-16,45
2016-01-17 - 2016-01-23,52
2016-01-24 - 2016-01-30,51
2016-01-31 - 2016-02-06,46
2016-02-07 - 2016-02-13,39
2016-02-14 - 2016-02-20,33


Top regions for apei
Region,apei
Moldova,100
Romania,83
France,3
Portugal,3


Top cities for apei
City,apei
Tulcea (Romania),100
Piatra Neamț (Romania),85
Bistriţa (Romania),83
Bacău (Romania),78
Buzău (Romania),77
Botoșani (Romania),77
Suceava (Romania),76
Târgu Jiu (Romania),74
Chisinau (Moldova),74
Râmnicu Vâlcea (Romania),74
Brăila (Romania),71
Galați (Romania),71
Constanța (Romania),71
Focșani (Romania),70
Baia Mare (Romania),68



Top searches for apei
poluarea apei,100
poluarea,100
temperatura apei,80
ce apei,45
temperatura apei marii,40
circuitul apei,35
importanta apei,30
poluarea apei referat,25
ziua apei,25
poluarea aerului,25
poluare,20
poluare apei,20
poluarea solului,20
densitatea apei,15
rolul apei,15
calitatea apei,15
analiza apei,15
duritatea apei,15
tratarea apei,10
despre poluarea apei,10
electroliza apei,10
electroliza,10
formula apei,10
proprietatile apei,10
poluarea aerului referat,10
legea apei,10
apa potabila,10
poluarea mediului,10
protectia apei,10
apei douai,5
dedurizarea apei,5
poluarea apelor,5
filtrarea apei,5
memoria apei,5
apei thionville,5
epurarea apei,5
ruperea apei,5
beneficiile apei,5
compozitia apei,5
purificarea apei,5
utilizarea apei,5
apei orange,5
avenir apei,5
structura apei,5
anomalia apei,5
energia apei,5
apei chambery,5
poluarea apei wikipedia,5
ph-ul apei,5
apei valenciennes,5



Rising searches for apei
ce apei,Breakout
circuitul apei,Breakout
densitatea apei,Breakout
importanta apei,Breakout
poluare,Breakout
poluare apei,Breakout
poluarea solului,Breakout
temperatura apei marii,Breakout
ziua apei,Breakout
temperatura apei,+100%



